Date,Time,Data,MMSI,Type,Message,NMEA,Slot,Slots
Tue Jul 22 2025,21:02:08,4877f05e200000b2b190a75d4d66e10ff905de0006,503060360,Standard Class B equipment position report,"Lat: -17.7709° Lon: 177.187° Speed: 0 knts Course: 360°","!AIVDM,1,1,,,B7OhGR000;:iT:MMCFKQ3wT5oP06,0*15
",316,1
Tue Jul 22 2025,21:02:15,487a128ba8000032b1bdc75d4f3d132ff9e54e0006,512008938,Standard Class B equipment position report,"Lat: -17.7701° Lon: 177.189° Speed: 0 knts Course: 30.6°","!AIVDM,1,1,,,B7`BRrP003:igLMMCklC;wWUCP06,0*57
",593,1
Tue Jul 22 2025,21:02:23,607a12a76c50580b24e1c1000000000000000000,512010715,Static data report,"Name: TE KINGA","!AIVDM,1,1,,,H7`Bani@F0dTpL4000000000000,2*50
",891,1
Tue Jul 22 2025,21:02:24,607a12a76d2500000000001a350e75df9000000000,512010715,Static data report,"Type: Vessel - Pleasure craft Vendor ID:  Callsign: ZMP9579","!AIVDM,1,1,,,H7`BanlU0000000J=@qmoq000000,0*09
",926,1
Tue Jul 22 2025,21:02:40,6050ae1eed244d2508b2a7800000000000301820bc,338397115,Static data report,"Type: Vessel - Sailing Vendor ID: SRTH,*^ Callsign: ","!AIVDM,1,1,,,H52f7flTCBD8dbN00000000h622t,0*38
",1512,1
Tue Jul 22 2025,21:02:50,603808607434910e24721480248515a140000000,235018269,Static data report,"Name: MIDNIGHT BREEZE","!AIVDM,1,1,,,H3P8H7@lT@pTLQB098DE`D00000,2*6e
",1888,1
Tue Jul 22 2025,21:02:57,4857d67e800001b2b17d6f5d4bb75cdfff25de0006,368418720,Standard Class B equipment position report,"Lat: -17.7716° Lon: 177.186° Speed: 0.1 knts Course: 148.5°","!AIVDM,1,1,,,B5OFO`000K:iOFuMBsMLowtUoP06,0*1f
",2149,1
Tue Jul 22 2025,21:03:03,047bbd22303e00032b07eb75d529db74110801401e,518998156,Position report (Scheduled),"Lat: -17.7687° Lon: 177.172° Speed: 0 knts Course: 293.2° Status: Under way using engine","!AIVDM,1,1,,,17fu8S0v00<c1vemmBWKM1480D0N,0*06
",137,1
Tue Jul 22 2025,21:03:04,4877f7bc880001b2b15abf5d593de10ff885de0006,503181090,Standard Class B equipment position report,"Lat: -17.7659° Lon: 177.184° Speed: 0.1 knts Course: 360°","!AIVDM,1,1,,,B7Oog8P00K:iFcuMFCoQ3wR5oP06,0*19
",168,1
Tue Jul 22 2025,21:03:06,4838086074000032b194575d4920e10ff8c1c94faa,235018269,Standard Class B equipment position report,"Lat: -17.7727° Lon: 177.187° Speed: 0 knts Course: 360°","!AIVDM,1,1,,,B3P8H7@003:iU5MMBB3Q3wS1jDvb,0*3f
",252,1
Tue Jul 22 2025,21:03:12,487a1260240001b2b179075d4a5b8f0ff965de0006,512006153,Standard Class B equipment position report,"Lat: -17.7722° Lon: 177.186° Speed: 0.1 knts Course: 228.8°","!AIVDM,1,1,,,B7`BH2@00K:iN@MMBUf?3wUUoP06,0*2f
",450,1
Tue Jul 22 2025,21:03:19,4877f04ed00001b2b142bf5d44f7018ffa65de0006,503059380,Standard Class B equipment position report,"Lat: -17.7745° Lon: 177.183° Speed: 0.1 knts Course: 2.4°","!AIVDM,1,1,,,B7OhCe000K:i@cuMA?L1SwaUoP06,0*0a
",733,1
Tue Jul 22 2025,21:03:33,607a12614848854d8033c33c0000000000000000,512006226,Static data report,"Name: RHUM COCO","!AIVDM,1,1,,,H7`BHDQ8QDn0<t<t00000000000,2*26
",1261,1
Tue Jul 22 2025,21:03:41,603e456af83855e02c1505000000000000000000,261184190,Static data report,"Name: NEW KATE","!AIVDM,1,1,,,H3q5JgPpEN0d5@D000000000000,2*39
",1548,1
